datetime,place,city,state,temperature,precipitation_total,wind_speed,humidity
2024-03-16,Damansara Jaya,Petaling Jaya,Selangor,27.248611111111114,0.0,0.4503472222222222,84.37291666666667
2024-03-16,Encorp Cahaya Alam,Shah Alam,Selangor,27.88632075471698,318.89,3.0363207547169813,10.0
2024-03-16,Gita Bayu,Balakong,Selangor,29.463194444444444,0.0,0.8340277777777777,75.99236111111111
2024-03-16,Hulu Langat,Kajang,Selangor,27.229166666666668,4619.25,17.677777777777777,85.9986111111111
2024-03-16,Petaling,Shah Alam,Selangor,30.960416666666667,140.23,1.3708333333333333,73.00902777777777
2024-03-16,Saujana Villa,Kajang,Selangor,30.393594306049824,0.0,0.36156583629893235,79.00106761565836
2024-03-16,Taman Tasik Semenyih,Kajang,Selangor,29.313888888888886,0.0,0.0076388888888888895,81.41319444444444
2024-03-17,Bandar Saujana Utama,Kuala Selangor,Selangor,28.43472222222222,35.47,0.6611111111111111,95.19999999999999
2024-03-17,Damansara Jaya,Petaling Jaya,Selangor,27.228125,0.0,0.6489583333333333,86.63888888888889
2024-03-17,Encorp Cahaya Alam,Shah Alam,Selangor,29.288053097345134,0.0,2.7783185840707962,10.0
2024-03-17,Gita Bayu,Balakong,Selangor,28.846014492753625,2337.04,0.5692028985507246,82.73623188405797
2024-03-17,Hulu Langat,Kajang,Selangor,27.862020905923345,4790.030000000001,17.617421602787456,84.30592334494773
2024-03-17,Petaling,Shah Alam,Selangor,31.803472222222222,0.0,1.567361111111111,71.62951388888888
2024-03-17,Saujana Villa,Kajang,Selangor,30.169565217391302,0.0,0.14347826086956522,81.86195652173913
2024-03-17,Taman Tasik Semenyih,Kajang,Selangor,29.348251748251748,0.0,0.002797202797202797,83.05699300699301
2024-03-18,Bandar Saujana Utama,Kuala Selangor,Selangor,29.675352112676055,0.0,0.596830985915493,90.21126760563381
2024-03-18,Damansara Jaya,Petaling Jaya,Selangor,27.59298245614035,0.0,0.5592982456140351,84.34140350877193
2024-03-18,Encorp Cahaya Alam,Shah Alam,Selangor,29.681879194630874,0.0,2.0557046979865774,10.0
2024-03-18,Gita Bayu,Balakong,Selangor,30.390492957746478,38.400000000000006,0.396830985915493,71.64401408450705
2024-03-18,Hulu Langat,Kajang,Selangor,28.11056338028169,4739.96,17.979225352112678,80.17042253521127
2024-03-18,Petaling,Shah Alam,Selangor,32.89017543859649,0.0,1.1617543859649124,66.0982456140351
2024-03-18,Saujana Villa,Kajang,Selangor,32.30641509433963,0.0,0.17169811320754716,67.98188679245283
2024-03-18,Taman Tasik Semenyih,Kajang,Selangor,30.574999999999996,0.0,0.03380281690140845,76.95669014084507
2024-03-19,Bandar Saujana Utama,Kuala Selangor,Selangor,29.383333333333333,0.0,0.5677083333333334,89.50173611111111
2024-03-19,Damansara Jaya,Petaling Jaya,Selangor,27.498958333333334,0.0,0.4711805555555555,85.93402777777777
2024-03-19,Encorp Cahaya Alam,Shah Alam,Selangor,29.276249999999997,0.0,2.098125,10.0
2024-03-19,Gita Bayu,Balakong,Selangor,30.735763888888886,0.0,0.715625,71.05347222222223
2024-03-19,Hulu Langat,Kajang,Selangor,28.59,4339.400000000001,17.83230769230769,79.7673076923077
2024-03-19,Petaling,Shah Alam,Selangor,32.307291666666664,0.0,1.40625,67.04791666666667
2024-03-19,Saujana Villa,Kajang,Selangor,32.44199288256228,0.0,0.2128113879003559,68.51814946619217
2024-03-19,Taman Tasik Semenyih,Kajang,Selangor,30.983216783216786,0.0,0.025174825174825177,76.47517482517483
2024-03-20,Bandar Saujana Utama,Kuala Selangor,Selangor,27.45034722222222,2162.05,0.49374999999999997,94.7954861111111
2024-03-20,Damansara Jaya,Petaling Jaya,Selangor,26.96597222222222,0.0,0.47291666666666665,90.78541666666666
2024-03-20,Encorp Cahaya Alam,Shah Alam,Selangor,29.027572016460905,0.0,3.5876543209876544,10.0
2024-03-20,Gita Bayu,Balakong,Selangor,28.805208333333333,55.38,0.41458333333333336,79.19236111111111
2024-03-20,Petaling,Shah Alam,Selangor,30.017708333333335,56.1,1.0996527777777778,76.56041666666667
2024-03-20,Saujana Villa,Kajang,Selangor,30.741666666666667,0.0,0.23715277777777777,74.303125
2024-03-20,Taman Tasik Semenyih,Kajang,Selangor,28.75347222222222,434.43,0.05381944444444445,84.44652777777777
2024-03-21,Bandar Saujana Utama,Kuala Selangor,Selangor,27.69965277777778,48.0,0.4083333333333333,99.0
2024-03-21,Damansara Jaya,Petaling Jaya,Selangor,28.224305555555556,7.8,0.534375,86.75694444444444
2024-03-21,Encorp Cahaya Alam,Shah Alam,Selangor,28.724630541871925,0.0,1.5901477832512316,10.0
2024-03-21,Gita Bayu,Balakong,Selangor,28.826041666666665,82.67,0.4420138888888889,79.97048611111111
2024-03-21,Petaling,Shah Alam,Selangor,31.36111111111111,0.0,1.053125,71.10138888888889
2024-03-21,Saujana Villa,Kajang,Selangor,30.620486111111113,0.0,0.10868055555555556,77.42673611111111
2024-03-21,Taman Tasik Semenyih,Kajang,Selangor,28.896515679442505,0.0,0.0132404181184669,84.49303135888502
2024-03-22,Bandar Saujana Utama,Kuala Selangor,Selangor,28.99583333333333,0.0,0.44479166666666664,93.30381944444444
2024-03-22,Damansara Jaya,Petaling Jaya,Selangor,28.194097222222222,57.599999999999994,0.47986111111111107,82.82222222222222
2024-03-22,Encorp Cahaya Alam,Shah Alam,Selangor,29.6965,0.0,2.484,10.0
2024-03-22,Gita Bayu,Balakong,Selangor,29.83888888888889,0.0,0.5524305555555555,76.55659722222222
2024-03-22,Petaling,Shah Alam,Selangor,32.99748743718593,0.0,1.136180904522613,66.36281407035176
2024-03-22,Saujana Villa,Kajang,Selangor,30.403125000000003,0.0,1.5965277777777778,75.75868055555556
2024-03-22,Taman Tasik Semenyih,Kajang,Selangor,29.22638888888889,0.0,0.009722222222222222,82.79895833333333
2024-03-23,Bandar Saujana Utama,Kuala Selangor,Selangor,29.86006944444445,7.75,0.6621527777777777,90.80520833333334
2024-03-23,Damansara Jaya,Petaling Jaya,Selangor,28.473958333333332,0.0,0.30694444444444446,84.81354166666667
2024-03-23,Encorp Cahaya Alam,Shah Alam,Selangor,29.429411764705883,0.0,2.27,10.0
2024-03-23,Gita Bayu,Balakong,Selangor,30.752777777777776,0.0,0.8131944444444444,74.03298611111111
2024-03-23,Saujana Villa,Kajang,Selangor,31.24409722222222,18.75,1.3069444444444445,75.38715277777777
2024-03-23,Taman Tasik Semenyih,Kajang,Selangor,29.576573426573425,0.0,0.01013986013986014,83.89545454545454
2024-03-24,Bandar Saujana Utama,Kuala Selangor,Selangor,29.763541666666665,48.0,0.7513888888888889,92.17951388888889
2024-03-24,Damansara Jaya,Petaling Jaya,Selangor,29.057291666666668,0.0,0.25659722222222225,85.47465277777778
2024-03-24,Encorp Cahaya Alam,Shah Alam,Selangor,29.419622641509434,172.19,3.3181132075471695,10.0
2024-03-24,Gita Bayu,Balakong,Selangor,29.007291666666667,898.81,0.7583333333333333,82.93680555555555
2024-03-24,Saujana Villa,Kajang,Selangor,29.40277777777778,4441.3,1.2729166666666667,84.56666666666666
2024-03-24,Taman Tasik Semenyih,Kajang,Selangor,28.237102473498233,1630.52,0.11766784452296822,87.43816254416961
2024-03-25,Bandar Saujana Utama,Kuala Selangor,Selangor,28.876388888888886,103.78,0.42430555555555555,95.41770833333334
2024-03-25,Damansara Jaya,Petaling Jaya,Selangor,28.726041666666667,0.0,0.24131944444444445,87.68402777777777
2024-03-25,Encorp Cahaya Alam,Shah Alam,Selangor,29.118959107806692,447.10999999999996,3.1962825278810407,10.0
2024-03-25,Gita Bayu,Balakong,Selangor,28.546875,2525.7200000000003,0.4545138888888889,86.54340277777777
2024-03-25,Petaling,Shah Alam,Selangor,29.118691588785044,1336.0600000000002,1.0369158878504674,86.48971962616822
2024-03-25,Saujana Villa,Kajang,Selangor,30.478819444444444,0.0,1.1208333333333333,80.20347222222222
2024-03-25,Taman Tasik Semenyih,Kajang,Selangor,29.47847222222222,0.0,0.004513888888888889,85.56666666666666
2024-03-26,Bandar Saujana Utama,Kuala Selangor,Selangor,29.607291666666665,33.4,0.44999999999999996,89.14027777777778
2024-03-26,Damansara Jaya,Petaling Jaya,Selangor,28.51145833333333,0.0,0.13854166666666667,86.23993055555555
2024-03-26,Encorp Cahaya Alam,Shah Alam,Selangor,28.508173076923075,907.1999999999999,1.9774038461538461,10.0
2024-03-26,Gita Bayu,Balakong,Selangor,30.93993055555556,56.4,0.4201388888888889,73.31458333333333
2024-03-26,Petaling,Shah Alam,Selangor,31.292334494773517,836.9300000000001,1.037979094076655,73.46271777003484
2024-03-26,Saujana Villa,Kajang,Selangor,32.219791666666666,0.0,1.7899305555555556,71.21944444444445
2024-03-26,Taman Tasik Semenyih,Kajang,Selangor,31.430208333333333,0.0,0.044444444444444446,77.44444444444444
2024-03-27,Bandar Saujana Utama,Kuala Selangor,Selangor,27.921875,420.58,0.3559027777777778,97.14409722222223
2024-03-27,Damansara Jaya,Petaling Jaya,Selangor,27.811111111111114,0.0,0.4503472222222222,86.6625
2024-03-27,Encorp Cahaya Alam,Shah Alam,Selangor,28.94980988593156,682.51,3.081749049429658,10.0
2024-03-27,Gita Bayu,Balakong,Selangor,28.765625,998.7099999999999,0.5604166666666667,81.93541666666667
2024-03-27,Petaling,Shah Alam,Selangor,30.236267605633802,376.43,1.2197183098591549,80.5774647887324
2024-03-27,Saujana Villa,Kajang,Selangor,30.48854166666667,0.0,1.035763888888889,77.55034722222223
2024-03-27,Taman Tasik Semenyih,Kajang,Selangor,29.025694444444444,0.0,0.008333333333333333,83.95833333333333
2024-03-28,Bandar Saujana Utama,Kuala Selangor,Selangor,28.694097222222222,138.25,0.6479166666666667,92.12326388888889
2024-03-28,Damansara Jaya,Petaling Jaya,Selangor,27.707291666666666,382.73,0.2076388888888889,89.97638888888889
2024-03-28,Encorp Cahaya Alam,Shah Alam,Selangor,27.803960396039603,122.02000000000001,2.602475247524753,10.0
2024-03-28,Gita Bayu,Balakong,Selangor,30.49879518072289,0.0,0.5706827309236947,75.52248995983935
2024-03-28,Petaling,Shah Alam,Selangor,31.182291666666668,76.53,1.1392361111111111,74.73611111111111
2024-03-28,Saujana Villa,Kajang,Selangor,31.288850174216027,423.06,1.7142857142857142,76.2184668989547
2024-03-28,Taman Tasik Semenyih,Kajang,Selangor,30.351865671641793,0.0,0.08843283582089552,81.60111940298506
2024-03-29,Bandar Saujana Utama,Kuala Selangor,Selangor,29.15381944444444,0.0,0.36770833333333336,91.8763888888889
2024-03-29,Damansara Jaya,Petaling Jaya,Selangor,27.394791666666666,0.0,0.22291666666666668,92.28229166666667
2024-03-29,Encorp Cahaya Alam,Shah Alam,Selangor,28.380184331797235,370.91999999999996,3.2110599078341013,10.0
2024-03-29,Gita Bayu,Balakong,Selangor,30.764236111111114,125.2,0.5493055555555555,74.23854166666666
2024-03-29,Petaling,Shah Alam,Selangor,30.590972222222224,1148.16,1.1878472222222223,77.83159722222223
2024-03-29,Saujana Villa,Kajang,Selangor,30.942013888888887,898.97,2.191666666666667,76.146875
2024-03-29,Taman Tasik Semenyih,Kajang,Selangor,30.420486111111114,80.07000000000001,0.08055555555555555,80.52118055555555
2024-03-30,Bandar Saujana Utama,Kuala Selangor,Selangor,28.120567375886523,1233.93,0.46737588652482276,92.09042553191489
2024-03-30,Damansara Jaya,Petaling Jaya,Selangor,26.964583333333334,1355.45,0.20763888888888887,91.29166666666667
2024-03-30,Encorp Cahaya Alam,Shah Alam,Selangor,27.344782608695652,1309.6299999999999,3.002173913043478,10.0
2024-03-30,Gita Bayu,Balakong,Selangor,29.16597222222222,683.34,0.7,81.61354166666666
2024-03-30,Petaling,Shah Alam,Selangor,29.990972222222222,530.04,1.2892361111111112,79.23124999999999
2024-03-30,Saujana Villa,Kajang,Selangor,29.452777777777776,1650.66,1.6861111111111111,83.07638888888889
2024-03-30,Taman Tasik Semenyih,Kajang,Selangor,28.94965277777778,1840.57,0.08472222222222221,85.60833333333333
2024-03-31,Bandar Saujana Utama,Kuala Selangor,Selangor,26.972125435540068,1239.69,0.27595818815331014,99.0
2024-03-31,Damansara Jaya,Petaling Jaya,Selangor,26.751388888888886,376.06,0.23750000000000002,93.29965277777778
2024-03-31,Encorp Cahaya Alam,Shah Alam,Selangor,28.183520599250937,284.8,2.579400749063671,10.0
2024-03-31,Gita Bayu,Balakong,Selangor,27.516319444444445,160.10000000000002,0.49027777777777776,87.08159722222223
2024-03-31,Petaling,Shah Alam,Selangor,29.73263888888889,133.52,0.8909722222222223,82.93819444444445
2024-03-31,Saujana Villa,Kajang,Selangor,28.144791666666666,532.89,0.47465277777777776,89.22256944444445
2024-03-31,Taman Tasik Semenyih,Kajang,Selangor,26.834375,371.85,0.015625,94.37048611111112
2024-04-01,Bandar Saujana Utama,Kuala Selangor,Selangor,28.033333333333335,1547.51,0.6496527777777777,98.39791666666666
2024-04-01,Damansara Jaya,Petaling Jaya,Selangor,28.109722222222224,736.93,0.1753472222222222,91.42118055555555
2024-04-01,Encorp Cahaya Alam,Shah Alam,Selangor,29.225373134328358,212.02,3.5850746268656715,10.0
2024-04-01,Gita Bayu,Balakong,Selangor,29.66215277777778,0.0,0.6656249999999999,80.27881944444444
2024-04-01,Petaling,Shah Alam,Selangor,30.696875000000002,644.4599999999999,1.3319444444444446,79.59895833333333
2024-04-01,Saujana Villa,Kajang,Selangor,31.221874999999997,0.0,0.8920138888888888,79.00347222222223
2024-04-01,Taman Tasik Semenyih,Kajang,Selangor,29.802430555555556,0.0,0.0010416666666666669,85.78541666666666
2024-04-02,Bandar Saujana Utama,Kuala Selangor,Selangor,28.901736111111113,485.65000000000003,0.7604166666666666,99.0
2024-04-02,Damansara Jaya,Petaling Jaya,Selangor,29.057291666666668,2400.0,0.1875,89.70208333333333
2024-04-02,Encorp Cahaya Alam,Shah Alam,Selangor,30.065250965250964,1768.94,4.354440154440154,10.0
2024-04-02,Gita Bayu,Balakong,Selangor,28.950347222222224,3862.41,0.4854166666666667,87.58506944444444
2024-04-02,Hulu Langat,Kajang,Selangor,24.9,1290.5900000000001,0.0,99.0
2024-04-02,Petaling,Shah Alam,Selangor,31.193684210526317,992.92,1.3452631578947367,78.62596491228071
2024-04-02,Saujana Villa,Kajang,Selangor,30.48263888888889,0.0,0.8725694444444445,83.13298611111111
2024-04-02,Taman Tasik Semenyih,Kajang,Selangor,28.938132295719846,0.0,0.0007782101167315176,90.02217898832686
2024-04-03,Bandar Saujana Utama,Kuala Selangor,Selangor,29.62326388888889,18.25,0.8170138888888889,94.44479166666666
2024-04-03,Damansara Jaya,Petaling Jaya,Selangor,29.001041666666666,0.0,0.29131944444444446,87.88819444444444
2024-04-03,Encorp Cahaya Alam,Shah Alam,Selangor,29.05141509433962,92.09,1.8702830188679245,10.0
2024-04-03,Gita Bayu,Balakong,Selangor,29.829166666666666,467.39,0.6225694444444445,81.86701388888889
2024-04-03,Petaling,Shah Alam,Selangor,31.790277777777778,77.98,1.0791666666666666,74.89479166666666
2024-04-03,Saujana Villa,Kajang,Selangor,30.57881944444445,0.0,1.2479166666666666,83.353125
2024-04-03,Taman Tasik Semenyih,Kajang,Selangor,29.51145833333333,0.0,0.022916666666666665,88.50416666666666
2024-04-04,Bandar Saujana Utama,Kuala Selangor,Selangor,28.856250000000003,0.0,0.8059027777777777,95.58541666666666
2024-04-04,Damansara Jaya,Petaling Jaya,Selangor,29.54270833333333,0.0,0.37256944444444445,86.61493055555555
2024-04-04,Encorp Cahaya Alam,Shah Alam,Selangor,29.8284046692607,0.0,4.786770428015564,10.0
2024-04-04,Gita Bayu,Balakong,Selangor,29.059375000000003,0.0,0.5614583333333333,83.98854166666666
2024-04-04,Petaling,Shah Alam,Selangor,31.194444444444443,0.0,1.6333333333333333,75.72430555555555
2024-04-04,Saujana Villa,Kajang,Selangor,29.298958333333335,24.25,1.0850694444444444,86.90625
2024-04-04,Taman Tasik Semenyih,Kajang,Selangor,26.31023622047244,1617.3600000000001,0.05196850393700788,95.59212598425198
2024-04-05,Bandar Saujana Utama,Kuala Selangor,Selangor,29.925694444444446,125.29,0.7142361111111111,95.42222222222222
2024-04-05,Damansara Jaya,Petaling Jaya,Selangor,28.509375000000002,0.0,0.4173611111111111,84.88958333333333
2024-04-05,Encorp Cahaya Alam,Shah Alam,Selangor,30.343396226415095,151.91000000000003,4.95245283018868,10.0
2024-04-05,Gita Bayu,Balakong,Selangor,30.437847222222224,42.12,0.5302083333333333,81.76770833333333
2024-04-05,Petaling,Shah Alam,Selangor,31.83693379790941,165.15,1.364808362369338,79.18675958188153
2024-04-05,Saujana Villa,Kajang,Selangor,30.828125,1140.79,1.1819444444444445,83.54374999999999
2024-04-05,Taman Tasik Semenyih,Kajang,Selangor,29.803124999999998,18.25,0.003472222222222222,88.69895833333334
2024-04-06,Bandar Saujana Utama,Kuala Selangor,Selangor,29.852777777777778,48.0,0.6885416666666667,98.01041666666667
2024-04-06,Damansara Jaya,Petaling Jaya,Selangor,28.042708333333334,0.0,0.39340277777777777,83.55243055555555
2024-04-06,Encorp Cahaya Alam,Shah Alam,Selangor,30.971851851851852,0.0,3.9485185185185183,10.0
