month,route_line,ridership
2022-02,MRT Kajang Line,2000682.0
2022-02,MRT Putrajaya Line,0.0
2022-03,KL Monorail,563548.0
2022-03,KTM,427625.0
2022-03,LRT Ampang/Sri Petaling Line,2693615.0
2022-03,LRT Kelana Jaya Line,3328621.0
2022-03,MRT Kajang Line,2497966.0
2022-03,MRT Putrajaya Line,0.0
2022-04,KL Monorail,659124.0
2022-04,KTM,439281.0
2022-04,LRT Ampang/Sri Petaling Line,3228674.0
2022-04,LRT Kelana Jaya Line,3819735.0
2022-04,MRT Kajang Line,2853546.0
2022-04,MRT Putrajaya Line,0.0
2022-05,KL Monorail,783838.0
2022-05,KTM,645692.0
2022-05,LRT Ampang/Sri Petaling Line,3339042.0
2022-05,LRT Kelana Jaya Line,4335519.0
2022-05,MRT Kajang Line,3375471.0
2022-05,MRT Putrajaya Line,0.0
2022-06,KL Monorail,991170.0
2022-06,KTM,755096.0
2022-06,LRT Ampang/Sri Petaling Line,4344595.0
2022-06,LRT Kelana Jaya Line,5426364.0
2022-06,MRT Kajang Line,4441552.0
2022-06,MRT Putrajaya Line,369564.0
2022-07,KL Monorail,1059131.0
2022-07,KTM,897746.0
2022-07,LRT Ampang/Sri Petaling Line,4266733.0
2022-07,LRT Kelana Jaya Line,5360964.0
2022-07,MRT Kajang Line,4666497.0
2022-07,MRT Putrajaya Line,688844.0
2022-08,KL Monorail,1027788.0
2022-08,KTM,888978.0
2022-08,LRT Ampang/Sri Petaling Line,4293066.0
2022-08,LRT Kelana Jaya Line,5491587.0
2022-08,MRT Kajang Line,4513422.0
2022-08,MRT Putrajaya Line,579156.0
2022-09,KL Monorail,1038355.0
2022-09,KTM,1018987.0
2022-09,LRT Ampang/Sri Petaling Line,4286962.0
2022-09,LRT Kelana Jaya Line,5456094.0
2022-09,MRT Kajang Line,4508174.0
2022-09,MRT Putrajaya Line,605209.0
2022-10,KL Monorail,1104800.0
2022-10,KTM,1065292.0
2022-10,LRT Ampang/Sri Petaling Line,4259135.0
2022-10,LRT Kelana Jaya Line,5470987.0
2022-10,MRT Kajang Line,4542720.0
2022-10,MRT Putrajaya Line,629934.0
2022-11,KL Monorail,1079915.0
2022-11,KTM,983633.0
2022-11,LRT Ampang/Sri Petaling Line,3963991.0
2022-11,LRT Kelana Jaya Line,4391529.0
2022-11,MRT Kajang Line,4336909.0
2022-11,MRT Putrajaya Line,610845.0
2022-12,KL Monorail,1320643.0
2022-12,KTM,1172887.0
2022-12,LRT Ampang/Sri Petaling Line,4475686.0
2022-12,LRT Kelana Jaya Line,5821398.0
2022-12,MRT Kajang Line,4874144.0
2022-12,MRT Putrajaya Line,664025.0
2023-01,KL Monorail,1207697.0
2023-01,KTM,1015776.0
2023-01,LRT Ampang/Sri Petaling Line,4319239.0
2023-01,LRT Kelana Jaya Line,5465184.0
2023-01,MRT Kajang Line,4557793.0
2023-01,MRT Putrajaya Line,640429.0
2023-02,KL Monorail,1311483.0
2023-02,KTM,947398.0
2023-02,LRT Ampang/Sri Petaling Line,3616881.0
2023-02,LRT Kelana Jaya Line,5350230.0
2023-02,MRT Kajang Line,4392381.0
2023-02,MRT Putrajaya Line,541466.0
2023-03,KL Monorail,1580507.0
2023-03,KTM,1090996.0
2023-03,LRT Ampang/Sri Petaling Line,4308679.0
