date,ron95,ron97
2021-12-23,2.05,2.99
2021-12-16,2.05,3.0
2021-12-09,2.05,2.99
2021-12-02,2.05,3.02
2021-11-25,2.05,3.05
2021-11-18,2.05,3.08
2021-11-11,2.05,3.08
2021-11-04,2.05,3.06
2021-10-28,2.05,2.97
2021-10-21,2.05,2.87
2021-10-14,2.05,2.87
2021-10-07,2.05,2.77
2021-09-30,2.05,2.76
2021-09-23,2.05,2.75
2021-09-16,2.05,2.73
2021-09-09,2.05,2.73
2021-09-02,2.05,2.72
2021-08-26,2.05,2.72
2021-08-19,2.05,2.74
2021-08-12,2.05,2.74
2021-08-05,2.05,2.74
2021-07-28,2.05,2.74
2021-07-22,2.05,2.73
2021-07-15,2.05,2.73
2021-07-08,2.05,2.7
2021-07-01,2.05,2.69
2021-06-24,2.05,2.67
2021-06-17,2.05,2.67
2021-06-10,2.05,2.65
2021-06-03,2.05,2.63
2021-05-27,2.05,2.61
2021-05-20,2.05,2.61
2021-05-13,2.05,2.6
2021-05-06,2.05,2.6
2021-04-29,2.05,2.58
2021-04-22,2.05,2.58
2021-04-15,2.05,2.54
2021-04-08,2.05,2.54
2021-04-01,2.05,2.52
2021-03-25,2.05,2.5
2021-03-18,2.05,2.47
2021-03-11,2.05,2.4
2021-03-04,2.05,2.35
2021-02-27,2.05,2.35
2021-02-20,2.0,2.3
2021-02-13,1.96,2.26
2021-02-06,1.93,2.23
2021-01-30,1.9,2.2
2021-01-23,1.9,2.2
2021-01-16,1.89,2.19
2021-01-09,1.84,2.14
2021-01-02,1.84,2.14
2020-12-26,1.8,2.1
2020-12-19,1.78,2.08
2020-12-12,1.73,2.03
2020-12-05,1.7,2.0
2020-11-28,1.67,1.97
2020-11-21,1.64,1.94
2020-11-14,1.62,1.92
2020-11-07,1.61,1.91
2020-10-31,1.64,1.94
2020-10-24,1.64,1.94
2020-10-17,1.68,1.98
2020-10-10,1.67,1.97
2020-10-03,1.71,2.01
2020-09-26,1.68,1.98
2020-09-19,1.63,1.93
2020-09-12,1.66,1.96
2020-09-05,1.71,2.01
2020-08-29,1.72,2.02
2020-08-22,1.71,2.01
2020-08-15,1.68,1.98
2020-08-08,1.63,1.93
2020-08-01,1.68,1.98
2020-07-25,1.68,1.98
2020-07-18,1.72,2.02
2020-07-11,1.72,2.02
2020-07-04,1.65,1.95
2020-06-27,1.69,1.99
2020-06-20,1.59,1.89
2020-06-13,1.56,1.86
2020-06-06,1.48,1.78
2020-05-30,1.43,1.73
2020-05-23,1.38,1.68
2020-05-16,1.31,1.61
2020-05-09,1.25,1.55
2020-05-02,1.25,1.55
2020-04-25,1.25,1.55
2020-04-18,1.25,1.55
2020-04-11,1.25,1.55
2020-04-04,1.3,1.6
2020-03-28,1.38,1.68
2020-03-21,1.44,1.74
2020-03-14,1.82,2.1
2020-03-07,1.89,2.19
2020-02-29,2.08,2.4
2020-02-22,2.08,2.38
2020-02-15,2.06,2.36
2020-02-08,2.04,2.34
2020-02-01,2.08,2.41
2020-01-25,2.08,2.49
2020-01-18,2.08,2.53
2020-01-11,2.08,2.62
2020-01-04,2.08,2.65
